Index,Name,Frequency (MHz),Modulation,CTCSS,Delay (sec),Lockout,Priority
101,,000.0000,auto,none,2,locked,off
102,,000.0000,auto,none,2,locked,off
103,,000.0000,auto,none,2,locked,off
104,,000.0000,auto,none,2,locked,off
105,,000.0000,auto,none,2,locked,off
106,,000.0000,auto,none,2,locked,off
107,,000.0000,auto,none,2,locked,off
108,,000.0000,auto,none,2,locked,off
109,,000.0000,auto,none,2,locked,off
110,,000.0000,auto,none,2,locked,off
111,,000.0000,auto,none,2,locked,off
112,,000.0000,auto,none,2,locked,off
113,,000.0000,auto,none,2,locked,off
114,,000.0000,auto,none,2,locked,off
115,,000.0000,auto,none,2,locked,off
116,,000.0000,auto,none,2,locked,off
117,,000.0000,auto,none,2,locked,off
118,,000.0000,auto,none,2,locked,off
119,,000.0000,auto,none,2,locked,off
120,,000.0000,auto,none,2,locked,off
121,,000.0000,auto,none,2,locked,off
122,,000.0000,auto,none,2,locked,off
123,,000.0000,auto,none,2,locked,off
124,,000.0000,auto,none,2,locked,off
125,,000.0000,auto,none,2,locked,off
126,,000.0000,auto,none,2,locked,off
127,,000.0000,auto,none,2,locked,off
128,,000.0000,auto,none,2,locked,off
129,,000.0000,auto,none,2,locked,off
130,,000.0000,auto,none,2,locked,off
131,,000.0000,auto,none,2,locked,off
132,,000.0000,auto,none,2,locked,off
133,,000.0000,auto,none,2,locked,off
134,,000.0000,auto,none,2,locked,off
135,,000.0000,auto,none,2,locked,off
136,,000.0000,auto,none,2,locked,off
137,,000.0000,auto,none,2,locked,off
138,,000.0000,auto,none,2,locked,off
139,,000.0000,auto,none,2,locked,off
140,,000.0000,auto,none,2,locked,off
141,,000.0000,auto,none,2,locked,off
142,,000.0000,auto,none,2,locked,off
143,,000.0000,auto,none,2,locked,off
144,,000.0000,auto,none,2,locked,off
145,,000.0000,auto,none,2,locked,off
146,,000.0000,auto,none,2,locked,off
147,,000.0000,auto,none,2,locked,off
148,,000.0000,auto,none,2,locked,off
149,,000.0000,auto,none,2,locked,off
150,,000.0000,auto,none,2,locked,off
151,,000.0000,auto,none,2,locked,off
152,,000.0000,auto,none,2,locked,off
153,,000.0000,auto,none,2,locked,off
154,,000.0000,auto,none,2,locked,off
155,,000.0000,auto,none,2,locked,off
156,,000.0000,auto,none,2,locked,off
157,,000.0000,auto,none,2,locked,off
158,,000.0000,auto,none,2,locked,off
159,,000.0000,auto,none,2,locked,off
160,,000.0000,auto,none,2,locked,off
161,,000.0000,auto,none,2,locked,off
162,,000.0000,auto,none,2,locked,off
163,,000.0000,auto,none,2,locked,off
164,,000.0000,auto,none,2,locked,off
165,,000.0000,auto,none,2,locked,off
166,,000.0000,auto,none,2,locked,off
167,,000.0000,auto,none,2,locked,off
168,,000.0000,auto,none,2,locked,off
169,,000.0000,auto,none,2,locked,off
170,,000.0000,auto,none,2,locked,off
171,,000.0000,auto,none,2,locked,off
172,,000.0000,auto,none,2,locked,off
173,,000.0000,auto,none,2,locked,off
174,,000.0000,auto,none,2,locked,off
175,,000.0000,auto,none,2,locked,off
176,,000.0000,auto,none,2,locked,off
177,,000.0000,auto,none,2,locked,off
178,,000.0000,auto,none,2,locked,off
179,,000.0000,auto,none,2,locked,off
180,,000.0000,auto,none,2,locked,off
181,,000.0000,auto,none,2,locked,off
182,,000.0000,auto,none,2,locked,off
183,,000.0000,auto,none,2,locked,off
184,,000.0000,auto,none,2,locked,off
185,,000.0000,auto,none,2,locked,off
186,,000.0000,auto,none,2,locked,off
187,,000.0000,auto,none,2,locked,off
188,,000.0000,auto,none,2,locked,off
189,,000.0000,auto,none,2,locked,off
190,,000.0000,auto,none,2,locked,off
191,,000.0000,auto,none,2,locked,off
192,,000.0000,auto,none,2,locked,off
193,,000.0000,auto,none,2,locked,off
194,,000.0000,auto,none,2,locked,off
195,,000.0000,auto,none,2,locked,off
196,,000.0000,auto,none,2,locked,off
197,,000.0000,auto,none,2,locked,off
198,,000.0000,auto,none,2,locked,off
199,,000.0000,auto,none,2,locked,off
200,,000.0000,auto,none,2,locked,off
201,,000.0000,auto,none,2,locked,off
202,,000.0000,auto,none,2,locked,off
203,,000.0000,auto,none,2,locked,off
204,,000.0000,auto,none,2,locked,off
205,,000.0000,auto,none,2,locked,off
206,,000.0000,auto,none,2,locked,off
207,,000.0000,auto,none,2,locked,off
208,,000.0000,auto,none,2,locked,off
209,,000.0000,auto,none,2,locked,off
210,,000.0000,auto,none,2,locked,off
211,,000.0000,auto,none,2,locked,off
212,,000.0000,auto,none,2,locked,off
213,,000.0000,auto,none,2,locked,off
214,,000.0000,auto,none,2,locked,off
215,,000.0000,auto,none,2,locked,off
216,,000.0000,auto,none,2,locked,off
217,,000.0000,auto,none,2,locked,off
218,,000.0000,auto,none,2,locked,off
219,,000.0000,auto,none,2,locked,off
220,,000.0000,auto,none,2,locked,off
221,,000.0000,auto,none,2,locked,off
222,,000.0000,auto,none,2,locked,off
223,,000.0000,auto,none,2,locked,off
224,,000.0000,auto,none,2,locked,off
225,,000.0000,auto,none,2,locked,off
226,,000.0000,auto,none,2,locked,off
227,,000.0000,auto,none,2,locked,off
228,,000.0000,auto,none,2,locked,off
229,,000.0000,auto,none,2,locked,off
230,,000.0000,auto,none,2,locked,off
231,,000.0000,auto,none,2,locked,off
232,,000.0000,auto,none,2,locked,off
233,,000.0000,auto,none,2,locked,off
234,,000.0000,auto,none,2,locked,off
235,,000.0000,auto,none,2,locked,off
236,,000.0000,auto,none,2,locked,off
237,,000.0000,auto,none,2,locked,off
238,,000.0000,auto,none,2,locked,off
239,,000.0000,auto,none,2,locked,off
240,,000.0000,auto,none,2,locked,off
241,,000.0000,auto,none,2,locked,off
242,,000.0000,auto,none,2,locked,off
243,,000.0000,auto,none,2,locked,off
244,,000.0000,auto,none,2,locked,off
245,,000.0000,auto,none,2,locked,off
246,,000.0000,auto,none,2,locked,off
247,,000.0000,auto,none,2,locked,off
248,,000.0000,auto,none,2,locked,off
249,,000.0000,auto,none,2,locked,off
250,,000.0000,auto,none,2,locked,off
251,,000.0000,auto,none,2,locked,off
252,,000.0000,auto,none,2,locked,off
253,,000.0000,auto,none,2,locked,off
254,,000.0000,auto,none,2,locked,off
255,,000.0000,auto,none,2,locked,off
256,,000.0000,auto,none,2,locked,off
257,,000.0000,auto,none,2,locked,off
258,,000.0000,auto,none,2,locked,off
259,,000.0000,auto,none,2,locked,off
260,,000.0000,auto,none,2,locked,off
261,,000.0000,auto,none,2,locked,off
262,,000.0000,auto,none,2,locked,off
263,,000.0000,auto,none,2,locked,off
264,,000.0000,auto,none,2,locked,off
265,,000.0000,auto,none,2,locked,off
266,,000.0000,auto,none,2,locked,off
267,,000.0000,auto,none,2,locked,off
268,,000.0000,auto,none,2,locked,off
269,,000.0000,auto,none,2,locked,off
270,,000.0000,auto,none,2,locked,off
271,,000.0000,auto,none,2,locked,off
272,,000.0000,auto,none,2,locked,off
273,,000.0000,auto,none,2,locked,off
274,,000.0000,auto,none,2,locked,off
275,,000.0000,auto,none,2,locked,off
276,,000.0000,auto,none,2,locked,off
277,,000.0000,auto,none,2,locked,off
278,,000.0000,auto,none,2,locked,off
279,,000.0000,auto,none,2,locked,off
280,,000.0000,auto,none,2,locked,off
281,,000.0000,auto,none,2,locked,off
282,,000.0000,auto,none,2,locked,off
283,,000.0000,auto,none,2,locked,off
284,,000.0000,auto,none,2,locked,off
285,,000.0000,auto,none,2,locked,off
286,,000.0000,auto,none,2,locked,off
287,,000.0000,auto,none,2,locked,off
288,,000.0000,auto,none,2,locked,off
289,,000.0000,auto,none,2,locked,off
290,,000.0000,auto,none,2,locked,off
291,,000.0000,auto,none,2,locked,off
292,,000.0000,auto,none,2,locked,off
293,,000.0000,auto,none,2,locked,off
294,,000.0000,auto,none,2,locked,off
295,,000.0000,auto,none,2,locked,off
296,,000.0000,auto,none,2,locked,off
297,,000.0000,auto,none,2,locked,off
298,,000.0000,auto,none,2,locked,off
299,,000.0000,auto,none,2,locked,off
300,,000.0000,auto,none,2,locked,off
301,,000.0000,auto,none,2,locked,off
302,,000.0000,auto,none,2,locked,off
303,,000.0000,auto,none,2,locked,off
304,,000.0000,auto,none,2,locked,off
305,,000.0000,auto,none,2,locked,off
306,,000.0000,auto,none,2,locked,off
307,,000.0000,auto,none,2,locked,off
308,,000.0000,auto,none,2,locked,off
309,,000.0000,auto,none,2,locked,off
310,,000.0000,auto,none,2,locked,off
311,,000.0000,auto,none,2,locked,off
312,,000.0000,auto,none,2,locked,off
313,,000.0000,auto,none,2,locked,off
314,,000.0000,auto,none,2,locked,off
315,,000.0000,auto,none,2,locked,off
316,,000.0000,auto,none,2,locked,off
317,,000.0000,auto,none,2,locked,off
318,,000.0000,auto,none,2,locked,off
319,,000.0000,auto,none,2,locked,off
320,,000.0000,auto,none,2,locked,off
321,,000.0000,auto,none,2,locked,off
322,,000.0000,auto,none,2,locked,off
323,,000.0000,auto,none,2,locked,off
324,,000.0000,auto,none,2,locked,off
325,,000.0000,auto,none,2,locked,off
326,,000.0000,auto,none,2,locked,off
327,,000.0000,auto,none,2,locked,off
328,,000.0000,auto,none,2,locked,off
329,,000.0000,auto,none,2,locked,off
330,,000.0000,auto,none,2,locked,off
331,,000.0000,auto,none,2,locked,off
332,,000.0000,auto,none,2,locked,off
333,,000.0000,auto,none,2,locked,off
334,,000.0000,auto,none,2,locked,off
335,,000.0000,auto,none,2,locked,off
336,,000.0000,auto,none,2,locked,off
337,,000.0000,auto,none,2,locked,off
338,,000.0000,auto,none,2,locked,off
339,,000.0000,auto,none,2,locked,off
340,,000.0000,auto,none,2,locked,off
341,,000.0000,auto,none,2,locked,off
342,,000.0000,auto,none,2,locked,off
343,,000.0000,auto,none,2,locked,off
344,,000.0000,auto,none,2,locked,off
345,,000.0000,auto,none,2,locked,off
346,,000.0000,auto,none,2,locked,off
347,,000.0000,auto,none,2,locked,off
348,,000.0000,auto,none,2,locked,off
349,,000.0000,auto,none,2,locked,off
350,,000.0000,auto,none,2,locked,off
351,,000.0000,auto,none,2,locked,off
352,,000.0000,auto,none,2,locked,off
353,,000.0000,auto,none,2,locked,off
354,,000.0000,auto,none,2,locked,off
355,,000.0000,auto,none,2,locked,off
356,,000.0000,auto,none,2,locked,off
357,,000.0000,auto,none,2,locked,off
358,,000.0000,auto,none,2,locked,off
359,,000.0000,auto,none,2,locked,off
360,,000.0000,auto,none,2,locked,off
361,,000.0000,auto,none,2,locked,off
362,,000.0000,auto,none,2,locked,off
363,,000.0000,auto,none,2,locked,off
364,,000.0000,auto,none,2,locked,off
365,,000.0000,auto,none,2,locked,off
366,,000.0000,auto,none,2,locked,off
367,,000.0000,auto,none,2,locked,off
368,,000.0000,auto,none,2,locked,off
369,,000.0000,auto,none,2,locked,off
370,,000.0000,auto,none,2,locked,off
371,,000.0000,auto,none,2,locked,off
372,,000.0000,auto,none,2,locked,off
373,,000.0000,auto,none,2,locked,off
374,,000.0000,auto,none,2,locked,off
375,,000.0000,auto,none,2,locked,off
376,,000.0000,auto,none,2,locked,off
377,,000.0000,auto,none,2,locked,off
378,,000.0000,auto,none,2,locked,off
379,,000.0000,auto,none,2,locked,off
380,,000.0000,auto,none,2,locked,off
381,,000.0000,auto,none,2,locked,off
382,,000.0000,auto,none,2,locked,off
383,,000.0000,auto,none,2,locked,off
384,,000.0000,auto,none,2,locked,off
385,,000.0000,auto,none,2,locked,off
386,,000.0000,auto,none,2,locked,off
387,,000.0000,auto,none,2,locked,off
388,,000.0000,auto,none,2,locked,off
389,,000.0000,auto,none,2,locked,off
390,,000.0000,auto,none,2,locked,off
391,,000.0000,auto,none,2,locked,off
392,,000.0000,auto,none,2,locked,off
393,,000.0000,auto,none,2,locked,off
394,,000.0000,auto,none,2,locked,off
395,,000.0000,auto,none,2,locked,off
396,,000.0000,auto,none,2,locked,off
397,,000.0000,auto,none,2,locked,off
398,,000.0000,auto,none,2,locked,off
399,,000.0000,auto,none,2,locked,off
400,,000.0000,auto,none,2,locked,off
401,,000.0000,auto,none,2,locked,off
402,,000.0000,auto,none,2,locked,off
403,,000.0000,auto,none,2,locked,off
404,,000.0000,auto,none,2,locked,off
405,,000.0000,auto,none,2,locked,off
406,,000.0000,auto,none,2,locked,off
407,,000.0000,auto,none,2,locked,off
408,,000.0000,auto,none,2,locked,off
409,,000.0000,auto,none,2,locked,off
410,,000.0000,auto,none,2,locked,off
411,,000.0000,auto,none,2,locked,off
412,,000.0000,auto,none,2,locked,off
413,,000.0000,auto,none,2,locked,off
414,,000.0000,auto,none,2,locked,off
415,,000.0000,auto,none,2,locked,off
416,,000.0000,auto,none,2,locked,off
417,,000.0000,auto,none,2,locked,off
418,,000.0000,auto,none,2,locked,off
419,,000.0000,auto,none,2,locked,off
420,,000.0000,auto,none,2,locked,off
421,,000.0000,auto,none,2,locked,off
422,,000.0000,auto,none,2,locked,off
423,,000.0000,auto,none,2,locked,off
424,,000.0000,auto,none,2,locked,off
425,,000.0000,auto,none,2,locked,off
426,,000.0000,auto,none,2,locked,off
427,,000.0000,auto,none,2,locked,off
428,,000.0000,auto,none,2,locked,off
429,,000.0000,auto,none,2,locked,off
430,,000.0000,auto,none,2,locked,off
431,,000.0000,auto,none,2,locked,off
432,,000.0000,auto,none,2,locked,off
433,,000.0000,auto,none,2,locked,off
434,,000.0000,auto,none,2,locked,off
435,,000.0000,auto,none,2,locked,off
436,,000.0000,auto,none,2,locked,off
437,,000.0000,auto,none,2,locked,off
438,,000.0000,auto,none,2,locked,off
439,,000.0000,auto,none,2,locked,off
440,,000.0000,auto,none,2,locked,off
441,,000.0000,auto,none,2,locked,off
442,,000.0000,auto,none,2,locked,off
443,,000.0000,auto,none,2,locked,off
444,,000.0000,auto,none,2,locked,off
445,,000.0000,auto,none,2,locked,off
446,,000.0000,auto,none,2,locked,off
447,,000.0000,auto,none,2,locked,off
448,,000.0000,auto,none,2,locked,off
449,,000.0000,auto,none,2,locked,off
450,,000.0000,auto,none,2,locked,off
451,,000.0000,auto,none,2,locked,off
452,,000.0000,auto,none,2,locked,off
453,,000.0000,auto,none,2,locked,off
454,,000.0000,auto,none,2,locked,off
455,,000.0000,auto,none,2,locked,off
456,,000.0000,auto,none,2,locked,off
457,,000.0000,auto,none,2,locked,off
458,,000.0000,auto,none,2,locked,off
459,,000.0000,auto,none,2,locked,off
460,,000.0000,auto,none,2,locked,off
461,,000.0000,auto,none,2,locked,off
462,,000.0000,auto,none,2,locked,off
463,,000.0000,auto,none,2,locked,off
464,,000.0000,auto,none,2,locked,off
465,,000.0000,auto,none,2,locked,off
466,,000.0000,auto,none,2,locked,off
467,,000.0000,auto,none,2,locked,off
468,,000.0000,auto,none,2,locked,off
469,,000.0000,auto,none,2,locked,off
470,,000.0000,auto,none,2,locked,off
471,,000.0000,auto,none,2,locked,off
472,,000.0000,auto,none,2,locked,off
473,,000.0000,auto,none,2,locked,off
474,,000.0000,auto,none,2,locked,off
475,,000.0000,auto,none,2,locked,off
476,,000.0000,auto,none,2,locked,off
477,,000.0000,auto,none,2,locked,off
478,,000.0000,auto,none,2,locked,off
479,,000.0000,auto,none,2,locked,off
480,,000.0000,auto,none,2,locked,off
481,,000.0000,auto,none,2,locked,off
482,,000.0000,auto,none,2,locked,off
483,,000.0000,auto,none,2,locked,off
484,,000.0000,auto,none,2,locked,off
485,,000.0000,auto,none,2,locked,off
486,,000.0000,auto,none,2,locked,off
487,,000.0000,auto,none,2,locked,off
488,,000.0000,auto,none,2,locked,off
489,,000.0000,auto,none,2,locked,off
490,,000.0000,auto,none,2,locked,off
491,,000.0000,auto,none,2,locked,off
492,,000.0000,auto,none,2,locked,off
493,,000.0000,auto,none,2,locked,off
494,,000.0000,auto,none,2,locked,off
495,,000.0000,auto,none,2,locked,off
496,,000.0000,auto,none,2,locked,off
497,,000.0000,auto,none,2,locked,off
498,,000.0000,auto,none,2,locked,off
499,,000.0000,auto,none,2,locked,off
500,,000.0000,auto,none,2,locked,off
